bin_low,bin_high,bin_center,raw_count,weighted_count,channel,sign
50.0,51.0,50.5,0,0,Z->ee,opposite
51.0,52.0,51.5,0,0,Z->ee,opposite
52.0,53.0,52.5,0,0,Z->ee,opposite
53.0,54.0,53.5,0,0,Z->ee,opposite
54.0,55.0,54.5,0,0,Z->ee,opposite
55.0,56.0,55.5,0,0,Z->ee,opposite
56.0,57.0,56.5,0,0,Z->ee,opposite
57.0,58.0,57.5,0,0,Z->ee,opposite
58.0,59.0,58.5,0,0,Z->ee,opposite
59.0,60.0,59.5,0,0,Z->ee,opposite
60.0,61.0,60.5,0,0,Z->ee,opposite
61.0,62.0,61.5,0,0,Z->ee,opposite
62.0,63.0,62.5,0,0,Z->ee,opposite
63.0,64.0,63.5,0,0,Z->ee,opposite
64.0,65.0,64.5,0,0,Z->ee,opposite
65.0,66.0,65.5,0,0,Z->ee,opposite
66.0,67.0,66.5,0,0,Z->ee,opposite
67.0,68.0,67.5,0,0,Z->ee,opposite
68.0,69.0,68.5,0,0,Z->ee,opposite
69.0,70.0,69.5,0,0,Z->ee,opposite
70.0,71.0,70.5,0,0,Z->ee,opposite
71.0,72.0,71.5,0,0,Z->ee,opposite
72.0,73.0,72.5,0,0,Z->ee,opposite
73.0,74.0,73.5,0,0,Z->ee,opposite
74.0,75.0,74.5,0,0,Z->ee,opposite
75.0,76.0,75.5,0,0,Z->ee,opposite
76.0,77.0,76.5,0,0,Z->ee,opposite
77.0,78.0,77.5,0,0,Z->ee,opposite
78.0,79.0,78.5,0,0,Z->ee,opposite
79.0,80.0,79.5,0,0,Z->ee,opposite
80.0,81.0,80.5,0,0,Z->ee,opposite
81.0,82.0,81.5,0,0,Z->ee,opposite
82.0,83.0,82.5,0,0,Z->ee,opposite
83.0,84.0,83.5,0,0,Z->ee,opposite
84.0,85.0,84.5,0,0,Z->ee,opposite
85.0,86.0,85.5,0,0,Z->ee,opposite
86.0,87.0,86.5,0,0,Z->ee,opposite
87.0,88.0,87.5,0,0,Z->ee,opposite
88.0,89.0,88.5,0,0,Z->ee,opposite
89.0,90.0,89.5,0,0,Z->ee,opposite
90.0,91.0,90.5,0,0,Z->ee,opposite
91.0,92.0,91.5,0,0,Z->ee,opposite
92.0,93.0,92.5,0,0,Z->ee,opposite
93.0,94.0,93.5,0,0,Z->ee,opposite
94.0,95.0,94.5,0,0,Z->ee,opposite
95.0,96.0,95.5,0,0,Z->ee,opposite
96.0,97.0,96.5,0,0,Z->ee,opposite
97.0,98.0,97.5,0,0,Z->ee,opposite
98.0,99.0,98.5,0,0,Z->ee,opposite
99.0,100.0,99.5,0,0,Z->ee,opposite
100.0,101.0,100.5,0,0,Z->ee,opposite
101.0,102.0,101.5,0,0,Z->ee,opposite
102.0,103.0,102.5,0,0,Z->ee,opposite
103.0,104.0,103.5,0,0,Z->ee,opposite
104.0,105.0,104.5,0,0,Z->ee,opposite
105.0,106.0,105.5,0,0,Z->ee,opposite
106.0,107.0,106.5,0,0,Z->ee,opposite
107.0,108.0,107.5,0,0,Z->ee,opposite
108.0,109.0,108.5,0,0,Z->ee,opposite
109.0,110.0,109.5,0,0,Z->ee,opposite
110.0,111.0,110.5,0,0,Z->ee,opposite
111.0,112.0,111.5,0,0,Z->ee,opposite
112.0,113.0,112.5,0,0,Z->ee,opposite
113.0,114.0,113.5,0,0,Z->ee,opposite
114.0,115.0,114.5,0,0,Z->ee,opposite
115.0,116.0,115.5,0,0,Z->ee,opposite
116.0,117.0,116.5,0,0,Z->ee,opposite
117.0,118.0,117.5,0,0,Z->ee,opposite
118.0,119.0,118.5,0,0,Z->ee,opposite
119.0,120.0,119.5,0,0,Z->ee,opposite
120.0,121.0,120.5,0,0,Z->ee,opposite
121.0,122.0,121.5,0,0,Z->ee,opposite
122.0,123.0,122.5,0,0,Z->ee,opposite
123.0,124.0,123.5,0,0,Z->ee,opposite
124.0,125.0,124.5,0,0,Z->ee,opposite
125.0,126.0,125.5,0,0,Z->ee,opposite
126.0,127.0,126.5,0,0,Z->ee,opposite
127.0,128.0,127.5,0,0,Z->ee,opposite
128.0,129.0,128.5,0,0,Z->ee,opposite
129.0,130.0,129.5,0,0,Z->ee,opposite
50.0,51.0,50.5,0,0,Z->ee,same
51.0,52.0,51.5,0,0,Z->ee,same
52.0,53.0,52.5,0,0,Z->ee,same
53.0,54.0,53.5,0,0,Z->ee,same
54.0,55.0,54.5,0,0,Z->ee,same
55.0,56.0,55.5,0,0,Z->ee,same
56.0,57.0,56.5,0,0,Z->ee,same
57.0,58.0,57.5,0,0,Z->ee,same
58.0,59.0,58.5,0,0,Z->ee,same
59.0,60.0,59.5,0,0,Z->ee,same
60.0,61.0,60.5,0,0,Z->ee,same
61.0,62.0,61.5,0,0,Z->ee,same
62.0,63.0,62.5,0,0,Z->ee,same
63.0,64.0,63.5,0,0,Z->ee,same
64.0,65.0,64.5,0,0,Z->ee,same
65.0,66.0,65.5,0,0,Z->ee,same
66.0,67.0,66.5,0,0,Z->ee,same
67.0,68.0,67.5,0,0,Z->ee,same
68.0,69.0,68.5,0,0,Z->ee,same
69.0,70.0,69.5,0,0,Z->ee,same
70.0,71.0,70.5,0,0,Z->ee,same
71.0,72.0,71.5,0,0,Z->ee,same
72.0,73.0,72.5,0,0,Z->ee,same
73.0,74.0,73.5,0,0,Z->ee,same
74.0,75.0,74.5,0,0,Z->ee,same
75.0,76.0,75.5,0,0,Z->ee,same
76.0,77.0,76.5,0,0,Z->ee,same
77.0,78.0,77.5,0,0,Z->ee,same
78.0,79.0,78.5,0,0,Z->ee,same
79.0,80.0,79.5,0,0,Z->ee,same
80.0,81.0,80.5,0,0,Z->ee,same
81.0,82.0,81.5,0,0,Z->ee,same
82.0,83.0,82.5,0,0,Z->ee,same
83.0,84.0,83.5,0,0,Z->ee,same
84.0,85.0,84.5,0,0,Z->ee,same
85.0,86.0,85.5,0,0,Z->ee,same
86.0,87.0,86.5,0,0,Z->ee,same
87.0,88.0,87.5,0,0,Z->ee,same
88.0,89.0,88.5,0,0,Z->ee,same
89.0,90.0,89.5,0,0,Z->ee,same
90.0,91.0,90.5,0,0,Z->ee,same
