metric,value
files,1
trees,mini
events_selected,1693
sum_weights_selected,1693.0
apply_triggers,True
z_mass_window_gev,80.0-100.0
w_mt_min_gev,30.0
source_types,data
weight_mode,"event weights if branch found, otherwise raw unit weights"
branch_map,"{'event_number': 'eventNumber', 'run_number': 'runNumber', 'weight': 'mcWeight', 'electron_trigger': 'trigE', 'muon_trigger': 'trigM', 'electron_pt': 'lep_pt', 'electron_eta': 'lep_eta', 'electron_phi': 'lep_phi', 'electron_e': 'lep_E', 'electron_charge': 'lep_charge', 'electron_iso': 'lep_etcone20', 'electron_quality': 'lep_isTightID', 'muon_pt': 'lep_pt', 'muon_eta': 'lep_eta', 'muon_phi': 'lep_phi', 'muon_e': 'lep_E', 'muon_charge': 'lep_charge', 'muon_iso': 'lep_etcone20', 'muon_quality': 'lep_isTightID', 'jet_pt': 'jet_pt', 'jet_eta': 'jet_eta', 'jet_phi': 'jet_phi', 'jet_e': 'jet_E', 'jet_btag': 'jet_MV2c10', 'met_et': 'met_et', 'met_phi': 'met_phi', 'lepton_type': 'lep_type'}"
