bin_low,bin_high,bin_center,raw_count,weighted_count,channel
0.0,3.0,1.5,0,0,W->enu
3.0,6.0,4.5,0,0,W->enu
6.0,9.0,7.5,0,0,W->enu
9.0,12.0,10.5,0,0,W->enu
12.0,15.0,13.5,0,0,W->enu
15.0,18.0,16.5,0,0,W->enu
18.0,21.0,19.5,0,0,W->enu
21.0,24.0,22.5,0,0,W->enu
24.0,27.0,25.5,0,0,W->enu
27.0,30.0,28.5,0,0,W->enu
30.0,33.0,31.5,7,7,W->enu
33.0,36.0,34.5,9,9,W->enu
36.0,39.0,37.5,7,7,W->enu
39.0,42.0,40.5,2,2,W->enu
42.0,45.0,43.5,5,5,W->enu
45.0,48.0,46.5,5,5,W->enu
48.0,51.0,49.5,8,8,W->enu
51.0,54.0,52.5,9,9,W->enu
54.0,57.0,55.5,19,19,W->enu
57.0,60.0,58.5,36,36,W->enu
60.0,63.0,61.5,46,46,W->enu
63.0,66.0,64.5,70,70,W->enu
66.0,69.0,67.5,60,60,W->enu
69.0,72.0,70.5,87,87,W->enu
72.0,75.0,73.5,99,99,W->enu
75.0,78.0,76.5,88,88,W->enu
78.0,81.0,79.5,90,90,W->enu
81.0,84.0,82.5,82,82,W->enu
84.0,87.0,85.5,51,51,W->enu
87.0,90.0,88.5,52,52,W->enu
90.0,93.0,91.5,27,27,W->enu
93.0,96.0,94.5,42,42,W->enu
96.0,99.0,97.5,21,21,W->enu
99.0,102.0,100.5,17,17,W->enu
102.0,105.0,103.5,23,23,W->enu
105.0,108.0,106.5,8,8,W->enu
108.0,111.0,109.5,7,7,W->enu
111.0,114.0,112.5,6,6,W->enu
114.0,117.0,115.5,5,5,W->enu
117.0,120.0,118.5,3,3,W->enu
120.0,123.0,121.5,3,3,W->enu
123.0,126.0,124.5,1,1,W->enu
126.0,129.0,127.5,0,0,W->enu
129.0,132.0,130.5,2,2,W->enu
132.0,135.0,133.5,1,1,W->enu
135.0,138.0,136.5,0,0,W->enu
138.0,141.0,139.5,1,1,W->enu
141.0,144.0,142.5,0,0,W->enu
144.0,147.0,145.5,1,1,W->enu
147.0,150.0,148.5,1,1,W->enu
150.0,153.0,151.5,0,0,W->enu
153.0,156.0,154.5,1,1,W->enu
156.0,159.0,157.5,0,0,W->enu
159.0,162.0,160.5,1,1,W->enu
162.0,165.0,163.5,0,0,W->enu
165.0,168.0,166.5,0,0,W->enu
168.0,171.0,169.5,0,0,W->enu
171.0,174.0,172.5,0,0,W->enu
174.0,177.0,175.5,0,0,W->enu
177.0,180.0,178.5,1,1,W->enu
0.0,3.0,1.5,0,0,W->munu
3.0,6.0,4.5,0,0,W->munu
6.0,9.0,7.5,0,0,W->munu
9.0,12.0,10.5,0,0,W->munu
12.0,15.0,13.5,0,0,W->munu
15.0,18.0,16.5,0,0,W->munu
18.0,21.0,19.5,0,0,W->munu
21.0,24.0,22.5,0,0,W->munu
24.0,27.0,25.5,0,0,W->munu
27.0,30.0,28.5,0,0,W->munu
30.0,33.0,31.5,8,8,W->munu
33.0,36.0,34.5,2,2,W->munu
36.0,39.0,37.5,7,7,W->munu
39.0,42.0,40.5,5,5,W->munu
42.0,45.0,43.5,6,6,W->munu
45.0,48.0,46.5,9,9,W->munu
48.0,51.0,49.5,6,6,W->munu
51.0,54.0,52.5,11,11,W->munu
54.0,57.0,55.5,25,25,W->munu
57.0,60.0,58.5,57,57,W->munu
60.0,63.0,61.5,70,70,W->munu
63.0,66.0,64.5,128,128,W->munu
66.0,69.0,67.5,143,143,W->munu
69.0,72.0,70.5,143,143,W->munu
72.0,75.0,73.5,151,151,W->munu
75.0,78.0,76.5,156,156,W->munu
78.0,81.0,79.5,128,128,W->munu
81.0,84.0,82.5,136,136,W->munu
84.0,87.0,85.5,105,105,W->munu
87.0,90.0,88.5,95,95,W->munu
90.0,93.0,91.5,62,62,W->munu
93.0,96.0,94.5,49,49,W->munu
96.0,99.0,97.5,50,50,W->munu
99.0,102.0,100.5,31,31,W->munu
102.0,105.0,103.5,23,23,W->munu
105.0,108.0,106.5,15,15,W->munu
108.0,111.0,109.5,14,14,W->munu
111.0,114.0,112.5,14,14,W->munu
114.0,117.0,115.5,12,12,W->munu
117.0,120.0,118.5,4,4,W->munu
120.0,123.0,121.5,7,7,W->munu
123.0,126.0,124.5,7,7,W->munu
126.0,129.0,127.5,0,0,W->munu
129.0,132.0,130.5,2,2,W->munu
132.0,135.0,133.5,1,1,W->munu
135.0,138.0,136.5,0,0,W->munu
138.0,141.0,139.5,3,3,W->munu
141.0,144.0,142.5,0,0,W->munu
144.0,147.0,145.5,1,1,W->munu
147.0,150.0,148.5,1,1,W->munu
150.0,153.0,151.5,0,0,W->munu
153.0,156.0,154.5,0,0,W->munu
156.0,159.0,157.5,1,1,W->munu
159.0,162.0,160.5,0,0,W->munu
162.0,165.0,163.5,0,0,W->munu
165.0,168.0,166.5,1,1,W->munu
168.0,171.0,169.5,0,0,W->munu
171.0,174.0,172.5,0,0,W->munu
174.0,177.0,175.5,1,1,W->munu
177.0,180.0,178.5,0,0,W->munu
