bin_low,bin_high,bin_center,raw_count,weighted_count,channel
50.0,51.0,50.5,0,0,Z->ee
51.0,52.0,51.5,0,0,Z->ee
52.0,53.0,52.5,0,0,Z->ee
53.0,54.0,53.5,0,0,Z->ee
54.0,55.0,54.5,0,0,Z->ee
55.0,56.0,55.5,0,0,Z->ee
56.0,57.0,56.5,0,0,Z->ee
57.0,58.0,57.5,0,0,Z->ee
58.0,59.0,58.5,0,0,Z->ee
59.0,60.0,59.5,0,0,Z->ee
60.0,61.0,60.5,0,0,Z->ee
61.0,62.0,61.5,0,0,Z->ee
62.0,63.0,62.5,0,0,Z->ee
63.0,64.0,63.5,0,0,Z->ee
64.0,65.0,64.5,0,0,Z->ee
65.0,66.0,65.5,0,0,Z->ee
66.0,67.0,66.5,0,0,Z->ee
67.0,68.0,67.5,0,0,Z->ee
68.0,69.0,68.5,0,0,Z->ee
69.0,70.0,69.5,0,0,Z->ee
70.0,71.0,70.5,0,0,Z->ee
71.0,72.0,71.5,0,0,Z->ee
72.0,73.0,72.5,0,0,Z->ee
73.0,74.0,73.5,0,0,Z->ee
74.0,75.0,74.5,0,0,Z->ee
75.0,76.0,75.5,0,0,Z->ee
76.0,77.0,76.5,0,0,Z->ee
77.0,78.0,77.5,0,0,Z->ee
78.0,79.0,78.5,0,0,Z->ee
79.0,80.0,79.5,0,0,Z->ee
80.0,81.0,80.5,0,0,Z->ee
81.0,82.0,81.5,0,0,Z->ee
82.0,83.0,82.5,0,0,Z->ee
83.0,84.0,83.5,0,0,Z->ee
84.0,85.0,84.5,0,0,Z->ee
85.0,86.0,85.5,0,0,Z->ee
86.0,87.0,86.5,0,0,Z->ee
87.0,88.0,87.5,0,0,Z->ee
88.0,89.0,88.5,0,0,Z->ee
89.0,90.0,89.5,0,0,Z->ee
90.0,91.0,90.5,0,0,Z->ee
91.0,92.0,91.5,0,0,Z->ee
92.0,93.0,92.5,0,0,Z->ee
93.0,94.0,93.5,0,0,Z->ee
94.0,95.0,94.5,0,0,Z->ee
95.0,96.0,95.5,0,0,Z->ee
96.0,97.0,96.5,0,0,Z->ee
97.0,98.0,97.5,0,0,Z->ee
98.0,99.0,98.5,0,0,Z->ee
99.0,100.0,99.5,0,0,Z->ee
100.0,101.0,100.5,0,0,Z->ee
101.0,102.0,101.5,0,0,Z->ee
102.0,103.0,102.5,0,0,Z->ee
103.0,104.0,103.5,0,0,Z->ee
104.0,105.0,104.5,0,0,Z->ee
105.0,106.0,105.5,0,0,Z->ee
106.0,107.0,106.5,0,0,Z->ee
107.0,108.0,107.5,0,0,Z->ee
108.0,109.0,108.5,0,0,Z->ee
109.0,110.0,109.5,0,0,Z->ee
110.0,111.0,110.5,0,0,Z->ee
111.0,112.0,111.5,0,0,Z->ee
112.0,113.0,112.5,0,0,Z->ee
113.0,114.0,113.5,0,0,Z->ee
114.0,115.0,114.5,0,0,Z->ee
115.0,116.0,115.5,0,0,Z->ee
116.0,117.0,116.5,0,0,Z->ee
117.0,118.0,117.5,0,0,Z->ee
118.0,119.0,118.5,0,0,Z->ee
119.0,120.0,119.5,0,0,Z->ee
120.0,121.0,120.5,0,0,Z->ee
121.0,122.0,121.5,0,0,Z->ee
122.0,123.0,122.5,0,0,Z->ee
123.0,124.0,123.5,0,0,Z->ee
124.0,125.0,124.5,0,0,Z->ee
125.0,126.0,125.5,0,0,Z->ee
126.0,127.0,126.5,0,0,Z->ee
127.0,128.0,127.5,0,0,Z->ee
128.0,129.0,128.5,0,0,Z->ee
129.0,130.0,129.5,0,0,Z->ee
50.0,51.0,50.5,0,0,Z->mumu
51.0,52.0,51.5,0,0,Z->mumu
52.0,53.0,52.5,0,0,Z->mumu
53.0,54.0,53.5,0,0,Z->mumu
54.0,55.0,54.5,0,0,Z->mumu
55.0,56.0,55.5,0,0,Z->mumu
56.0,57.0,56.5,0,0,Z->mumu
57.0,58.0,57.5,0,0,Z->mumu
58.0,59.0,58.5,0,0,Z->mumu
59.0,60.0,59.5,0,0,Z->mumu
60.0,61.0,60.5,0,0,Z->mumu
61.0,62.0,61.5,0,0,Z->mumu
62.0,63.0,62.5,0,0,Z->mumu
63.0,64.0,63.5,0,0,Z->mumu
64.0,65.0,64.5,0,0,Z->mumu
65.0,66.0,65.5,0,0,Z->mumu
66.0,67.0,66.5,0,0,Z->mumu
67.0,68.0,67.5,0,0,Z->mumu
68.0,69.0,68.5,0,0,Z->mumu
69.0,70.0,69.5,0,0,Z->mumu
70.0,71.0,70.5,0,0,Z->mumu
71.0,72.0,71.5,0,0,Z->mumu
72.0,73.0,72.5,0,0,Z->mumu
73.0,74.0,73.5,0,0,Z->mumu
74.0,75.0,74.5,0,0,Z->mumu
75.0,76.0,75.5,0,0,Z->mumu
76.0,77.0,76.5,0,0,Z->mumu
77.0,78.0,77.5,0,0,Z->mumu
78.0,79.0,78.5,0,0,Z->mumu
79.0,80.0,79.5,0,0,Z->mumu
80.0,81.0,80.5,0,0,Z->mumu
81.0,82.0,81.5,0,0,Z->mumu
82.0,83.0,82.5,0,0,Z->mumu
83.0,84.0,83.5,0,0,Z->mumu
84.0,85.0,84.5,0,0,Z->mumu
85.0,86.0,85.5,0,0,Z->mumu
86.0,87.0,86.5,0,0,Z->mumu
87.0,88.0,87.5,0,0,Z->mumu
88.0,89.0,88.5,0,0,Z->mumu
89.0,90.0,89.5,0,0,Z->mumu
90.0,91.0,90.5,0,0,Z->mumu
91.0,92.0,91.5,0,0,Z->mumu
92.0,93.0,92.5,0,0,Z->mumu
93.0,94.0,93.5,0,0,Z->mumu
94.0,95.0,94.5,0,0,Z->mumu
95.0,96.0,95.5,0,0,Z->mumu
96.0,97.0,96.5,0,0,Z->mumu
97.0,98.0,97.5,0,0,Z->mumu
98.0,99.0,98.5,0,0,Z->mumu
99.0,100.0,99.5,0,0,Z->mumu
100.0,101.0,100.5,0,0,Z->mumu
101.0,102.0,101.5,0,0,Z->mumu
102.0,103.0,102.5,0,0,Z->mumu
103.0,104.0,103.5,0,0,Z->mumu
104.0,105.0,104.5,0,0,Z->mumu
105.0,106.0,105.5,0,0,Z->mumu
106.0,107.0,106.5,0,0,Z->mumu
107.0,108.0,107.5,0,0,Z->mumu
108.0,109.0,108.5,0,0,Z->mumu
109.0,110.0,109.5,0,0,Z->mumu
110.0,111.0,110.5,0,0,Z->mumu
111.0,112.0,111.5,0,0,Z->mumu
112.0,113.0,112.5,0,0,Z->mumu
113.0,114.0,113.5,0,0,Z->mumu
114.0,115.0,114.5,0,0,Z->mumu
115.0,116.0,115.5,0,0,Z->mumu
116.0,117.0,116.5,0,0,Z->mumu
117.0,118.0,117.5,0,0,Z->mumu
118.0,119.0,118.5,0,0,Z->mumu
119.0,120.0,119.5,0,0,Z->mumu
120.0,121.0,120.5,0,0,Z->mumu
121.0,122.0,121.5,0,0,Z->mumu
122.0,123.0,122.5,0,0,Z->mumu
123.0,124.0,123.5,0,0,Z->mumu
124.0,125.0,124.5,0,0,Z->mumu
125.0,126.0,125.5,0,0,Z->mumu
126.0,127.0,126.5,0,0,Z->mumu
127.0,128.0,127.5,0,0,Z->mumu
128.0,129.0,128.5,0,0,Z->mumu
129.0,130.0,129.5,0,0,Z->mumu
